zona,m2,recamaras,banos,estacionamientos,precio_venta_mxn,renta_mensual_mxn,antiguedad_anios,vacancia_pct,riesgo_zona
Cumbres del Lago,64.4,4,3,2,2394000,13300,5,4.2,2
El Refugio,159.6,2,2,1,4017000,24400,8,4.4,3
Cumbres del Lago,102.5,3,3,2,4005000,24000,6,3.0,2
Corregidora,125.9,3,2,1,3817000,20000,13,7.1,3
Centro,72.1,3,1,1,2000000,11400,22,9.7,4
Centro,91.9,1,1,1,2283000,12600,24,3.2,4
El Refugio,78.4,3,2,1,2546000,15900,2,2.8,3
Jurica,112.4,4,3,1,5981000,36000,19,3.1,2
Zibatá,140.5,2,2,1,4701000,28300,5,3.8,1
Corregidora,128.8,3,2,2,3269000,19300,10,4.8,3
Centro,129.3,3,1,1,2870000,17200,22,2.0,4
El Refugio,96.6,3,2,2,2585000,15600,7,6.3,3
Centro,148.8,2,1,2,2691000,14900,30,8.5,4
Corregidora,105.3,3,2,2,3555000,22900,8,7.5,3
Mileno III,145.9,3,2,1,3372000,20800,12,2.6,3
Centro,118.4,3,1,2,2901000,15600,27,9.4,4
Jurica,146.8,4,3,2,8885000,40400,8,3.3,2
Zibatá,128.7,2,2,1,3860000,17700,5,2.7,1
Juriquilla,113.8,3,2,1,2923000,16500,1,2.7,2
Mileno III,125.4,3,2,2,3224000,15700,4,3.9,3
Mileno III,148.0,2,2,1,4649000,29400,10,6.8,3
Corregidora,79.3,2,2,1,2267000,13900,11,4.7,3
Corregidora,125.3,3,2,1,4030000,22900,11,7.6,3
Zibatá,119.6,3,2,1,3348000,19700,3,3.9,1
El Refugio,91.9,3,2,2,2394000,11900,4,6.2,3
El Refugio,87.1,3,2,1,1908000,10400,9,3.9,3
Corregidora,105.0,2,2,2,2279000,14400,12,4.5,3
Centro,107.1,1,1,2,3083000,17600,10,5.6,4
Juriquilla,68.6,3,2,1,2058000,12800,1,4.7,2
Centro,87.2,2,1,1,1344000,6700,10,7.8,4
Zibatá,168.7,3,2,1,6396000,32200,2,3.1,1
Jurica,135.5,3,3,1,7650000,34900,5,3.0,2
Zibatá,60.4,3,2,2,2210000,10900,1,2.3,1
Jurica,94.4,3,3,1,3546000,20900,12,3.7,2
Centro,51.1,1,1,1,944000,4200,11,9.9,4
Cumbres del Lago,106.6,3,3,2,4993000,25900,5,3.0,2
Mileno III,101.5,3,2,2,2566000,14900,9,5.0,3
Centro,95.4,2,1,1,2372000,14300,16,8.6,4
Corregidora,100.0,2,2,1,2350000,13600,7,6.9,3
Juriquilla,109.6,3,2,1,3501000,16400,6,4.1,2
Cumbres del Lago,116.2,3,3,2,5132000,25000,4,3.7,2
Zibatá,109.9,3,2,1,4480000,20100,6,2.3,1
Corregidora,166.0,2,2,1,5312000,33500,10,7.4,3
Zibatá,109.9,3,2,2,2801000,17700,0,2.9,1
Juriquilla,113.0,3,2,2,3215000,18200,7,2.7,2
Centro,104.0,2,1,2,2171000,13500,29,3.1,4
Corregidora,81.2,2,2,1,1880000,8500,11,3.9,3
Centro,121.0,1,1,2,2887000,16800,29,9.9,4
Zibatá,135.5,3,2,2,4876000,27000,2,3.0,1
Jurica,100.5,3,3,2,5039000,24900,15,3.0,2
Cumbres del Lago,83.5,3,3,2,4091000,24000,2,2.1,2
Mileno III,105.4,2,2,1,2980000,14600,8,4.3,3
Zibatá,76.8,2,2,2,2890000,13400,2,3.5,1
Corregidora,73.9,3,2,2,1716000,8100,11,2.1,3
Jurica,120.8,4,3,2,6297000,36100,12,3.4,2
Zibatá,116.1,2,2,2,4480000,23100,5,3.9,1
Jurica,90.8,3,3,2,3671000,18900,9,5.7,2
Zibatá,108.8,3,2,2,2860000,15200,3,3.0,1
Mileno III,83.6,3,2,2,2326000,11600,5,2.2,3
Cumbres del Lago,137.9,3,3,2,5836000,26600,4,2.3,2
Centro,99.1,3,1,1,2279000,14400,16,7.6,4
Zibatá,72.0,3,2,1,2101000,11500,1,2.2,1
Jurica,109.5,4,3,2,4827000,29300,17,4.5,2
Cumbres del Lago,117.4,3,3,1,3850000,21700,3,4.4,2
Centro,141.8,3,1,3,3663000,23200,25,5.3,4
Centro,73.0,3,1,2,1504000,7300,29,9.8,4
Centro,45.0,3,1,1,1219000,6700,11,4.5,4
Jurica,110.4,4,3,2,6764000,41700,7,5.2,2
Cumbres del Lago,131.0,4,3,1,5072000,32000,3,3.4,2
El Refugio,114.7,2,2,2,2591000,16300,10,5.1,3
Mileno III,130.3,2,2,1,2709000,13700,10,5.4,3
Cumbres del Lago,112.4,3,3,1,4730000,22300,4,4.8,2
Juriquilla,138.3,2,2,2,3340000,19300,3,2.6,2
Mileno III,124.5,2,2,1,3807000,17200,4,2.7,3
Zibatá,124.1,2,2,2,3659000,17800,3,3.8,1
Jurica,114.3,3,3,1,6502000,40000,8,2.2,2
El Refugio,67.9,3,2,1,2112000,10300,9,5.9,3
Jurica,59.5,3,3,1,2950000,17300,11,5.9,2
Cumbres del Lago,80.8,3,3,2,2584000,16100,2,2.5,2
Cumbres del Lago,99.8,4,3,1,5102000,27200,4,4.3,2
Cumbres del Lago,90.9,4,3,1,3375000,21000,7,2.7,2
Jurica,121.0,4,3,2,5773000,34600,13,2.6,2
Jurica,87.3,4,3,1,3894000,20300,5,4.0,2
El Refugio,131.3,3,2,2,3889000,21500,5,4.8,3
Centro,125.2,3,1,1,3679000,20300,16,8.8,4
Corregidora,131.6,2,2,1,3594000,17100,10,5.8,3
Corregidora,98.3,2,2,1,2912000,16300,10,2.3,3
Corregidora,81.0,2,2,2,2300000,13800,10,7.5,3
Centro,89.4,1,1,2,2374000,12600,24,3.8,4
Cumbres del Lago,92.3,3,3,1,3664000,17600,8,3.0,2
Juriquilla,151.8,2,2,3,5908000,29300,4,4.4,2
Juriquilla,136.6,3,2,2,4411000,20500,2,2.5,2
Juriquilla,56.4,2,2,2,1600000,9200,5,3.2,2
Mileno III,135.3,3,2,1,3817000,17200,10,7.8,3
Mileno III,65.4,2,2,2,1784000,8200,11,2.2,3
Jurica,117.2,4,3,2,5162000,29800,14,2.5,2
Corregidora,110.9,2,2,1,3507000,22100,4,2.5,3
Cumbres del Lago,100.9,3,3,1,4302000,23500,6,3.5,2
Cumbres del Lago,125.8,3,3,1,5370000,34800,8,2.6,2
Zibatá,113.8,2,2,2,3959000,24400,6,2.2,1
Mileno III,129.8,2,2,2,3502000,16200,7,4.0,3
Corregidora,59.8,3,2,1,1714000,10100,14,2.2,3
Zibatá,45.0,2,2,1,1777000,8000,4,2.6,1
Cumbres del Lago,117.1,4,3,2,5278000,29100,2,4.6,2
El Refugio,134.8,2,2,1,4219000,24000,9,2.6,3
Cumbres del Lago,97.6,4,3,1,3890000,21300,1,3.1,2
Corregidora,102.7,2,2,2,2989000,15000,4,7.3,3
Corregidora,62.1,2,2,2,1287000,8100,14,2.6,3
Mileno III,125.6,3,2,1,3851000,23300,8,2.8,3
Juriquilla,116.6,3,2,1,3886000,24800,2,3.4,2
Cumbres del Lago,57.7,4,3,1,1918000,9900,7,4.6,2
Centro,45.0,1,1,2,858000,5400,11,3.8,4
Jurica,109.5,4,3,1,5290000,29700,10,4.5,2
Centro,139.4,3,1,1,2503000,12900,18,2.2,4
El Refugio,139.7,3,2,2,4211000,21800,10,5.5,3
Corregidora,156.1,2,2,1,3288000,18300,5,4.2,3
Juriquilla,131.6,2,2,1,4658000,22700,3,4.0,2
Corregidora,97.8,3,2,1,2521000,16200,15,5.1,3
Jurica,114.2,4,3,2,6905000,40100,9,5.6,2
Centro,134.9,3,1,2,2540000,15500,21,5.1,4
Jurica,79.8,4,3,2,5170000,30300,10,3.1,2
Jurica,144.2,4,3,1,8808000,40000,15,2.8,2
Cumbres del Lago,56.2,3,3,2,2379000,14300,8,3.9,2
Zibatá,76.4,2,2,2,2873000,15800,3,2.7,1
Zibatá,81.6,3,2,2,2599000,12700,5,2.2,1
Cumbres del Lago,104.7,3,3,2,4665000,21000,2,4.7,2
Corregidora,122.0,3,2,1,2780000,14300,15,6.2,3
Cumbres del Lago,138.1,3,3,2,4723000,29600,7,2.4,2
Centro,163.8,2,1,1,4004000,23400,14,3.6,4
Centro,107.1,2,1,1,1951000,8900,19,2.8,4
Zibatá,113.0,2,2,2,4190000,21600,2,2.4,1
Corregidora,159.6,3,2,2,4430000,22200,11,7.4,3
Jurica,138.1,3,3,1,7613000,38000,19,5.8,2
Juriquilla,142.8,2,2,3,3418000,17200,5,3.4,2
Corregidora,108.7,3,2,2,3395000,16700,4,4.9,3
Centro,105.0,1,1,2,2624000,13300,15,4.3,4
Jurica,159.7,4,3,1,8008000,45400,11,5.6,2
Cumbres del Lago,124.2,4,3,2,4245000,26600,2,3.2,2
Corregidora,100.8,3,2,1,3152000,15100,14,2.7,3
Mileno III,137.1,3,2,1,3607000,18000,6,7.9,3
Zibatá,123.9,3,2,1,4583000,26000,6,3.6,1
Juriquilla,109.1,3,2,2,2895000,16800,6,2.0,2
Corregidora,71.0,2,2,1,1647000,7700,9,2.3,3
Jurica,122.8,3,3,1,6711000,30500,11,4.7,2
Centro,145.0,3,1,1,4537000,23800,13,3.4,4
Juriquilla,100.6,3,2,1,2563000,14400,5,4.0,2
Mileno III,143.7,2,2,2,3359000,18800,12,4.4,3
Mileno III,63.9,3,2,1,2065000,11000,5,4.7,3
Corregidora,115.8,2,2,2,3480000,22300,9,4.5,3
Zibatá,66.8,3,2,2,2792000,13500,5,2.9,1
Juriquilla,49.0,2,2,1,1502000,7200,7,3.5,2
Corregidora,74.1,2,2,2,2420000,15200,15,4.7,3
Corregidora,90.7,2,2,2,2133000,12300,12,4.5,3
Corregidora,101.9,2,2,2,3077000,15800,5,7.9,3
Jurica,109.9,4,3,1,7226000,32800,6,3.5,2
Corregidora,104.7,2,2,2,3026000,19000,5,3.4,3
Zibatá,116.9,2,2,2,3411000,19700,5,3.4,1
Jurica,86.8,4,3,1,3429000,19000,11,5.1,2
El Refugio,147.0,2,2,1,3312000,15300,4,5.1,3
Juriquilla,122.8,3,2,1,3783000,23300,3,2.7,2
Cumbres del Lago,104.2,3,3,2,3868000,22600,8,4.1,2
Cumbres del Lago,183.9,3,3,3,7170000,32200,6,2.8,2
Jurica,110.5,4,3,2,6426000,35700,8,4.6,2
Cumbres del Lago,131.7,4,3,1,6363000,31500,1,4.2,2
Jurica,45.0,3,3,1,2107000,12700,12,5.2,2
Centro,117.1,3,1,1,3234000,19400,27,5.5,4
El Refugio,57.4,2,2,1,1929000,11500,6,6.2,3
El Refugio,116.9,3,2,1,3381000,18900,6,5.9,3
Centro,102.5,3,1,1,1884000,9000,25,5.5,4
Zibatá,145.2,3,2,2,6525000,38900,4,2.1,1
Juriquilla,106.7,3,2,1,3656000,17500,2,4.2,2
Mileno III,115.5,2,2,2,2672000,13400,5,2.6,3
Corregidora,56.9,2,2,2,1165000,5400,4,2.6,3
El Refugio,110.8,3,2,1,3076000,14400,4,2.9,3
Juriquilla,89.0,2,2,1,2497000,12100,2,3.5,2
Jurica,103.0,3,3,1,6227000,35300,14,2.2,2
Centro,122.2,2,1,1,2483000,15100,14,8.0,4
Zibatá,102.9,3,2,2,3071000,14300,1,3.6,1
Centro,101.8,1,1,2,2273000,12600,22,3.3,4
Zibatá,103.9,2,2,1,3173000,19100,0,3.2,1
Jurica,126.8,3,3,1,4926000,29400,10,5.6,2
Corregidora,82.0,3,2,1,2154000,12000,15,6.2,3
Cumbres del Lago,101.4,4,3,2,3412000,21400,2,2.7,2
Centro,73.8,2,1,1,1647000,8800,24,4.6,4
Zibatá,54.5,3,2,1,1473000,9200,4,3.5,1
Mileno III,83.4,2,2,1,2525000,12400,9,8.0,3
Zibatá,161.4,2,2,2,5983000,34800,2,3.3,1
Jurica,106.1,4,3,1,6688000,33800,11,2.8,2
Mileno III,66.9,3,2,1,1913000,9000,10,7.7,3
Mileno III,126.5,3,2,1,3038000,16700,11,2.9,3
Mileno III,87.4,2,2,1,2060000,11300,5,6.3,3
Centro,154.3,1,1,1,3764000,19200,11,2.8,4
Jurica,112.2,4,3,1,7184000,43800,9,5.0,2
Cumbres del Lago,67.8,3,3,2,3356000,16400,7,4.7,2
Jurica,157.0,4,3,2,7367000,39200,18,3.7,2
Corregidora,124.0,2,2,2,3406000,20700,14,2.9,3
Centro,130.1,1,1,2,2677000,12400,23,6.1,4
Jurica,76.7,4,3,2,3908000,23100,17,2.3,2
El Refugio,96.0,2,2,1,2712000,16400,2,6.7,3
Cumbres del Lago,113.5,4,3,2,5206000,31400,2,3.8,2
Centro,93.0,3,1,1,2616000,12300,14,2.9,4
Centro,172.2,3,1,3,3741000,23900,16,2.6,4
Centro,144.3,3,1,3,3451000,15800,26,4.3,4
El Refugio,47.8,2,2,2,1027000,4900,7,2.3,3
Cumbres del Lago,138.9,4,3,1,6116000,34800,1,3.5,2
El Refugio,117.6,2,2,1,3211000,16900,2,6.5,3
Zibatá,69.4,2,2,2,2754000,17400,2,2.7,1
Mileno III,132.5,3,2,1,3309000,18500,6,5.9,3
Corregidora,104.2,2,2,2,2965000,13600,10,6.6,3
Zibatá,151.0,2,2,3,4823000,26900,2,2.1,1
Mileno III,128.8,3,2,1,3111000,14800,5,7.2,3
Corregidora,117.8,2,2,1,2488000,12300,10,5.2,3
Cumbres del Lago,114.6,4,3,2,5284000,29300,1,5.0,2
Centro,151.5,3,1,3,3155000,17500,12,8.0,4
Zibatá,88.2,3,2,2,2578000,14700,6,2.6,1
Corregidora,73.4,3,2,2,1731000,9100,8,7.5,3
Jurica,117.8,4,3,1,6889000,35200,19,5.4,2
Jurica,110.6,3,3,2,6671000,32000,10,4.5,2
El Refugio,67.5,3,2,1,1598000,8100,4,2.6,3
Mileno III,127.4,2,2,2,3300000,20500,7,7.1,3
Centro,118.8,2,1,2,3053000,14400,15,6.2,4
Corregidora,192.5,3,2,1,4679000,28700,6,4.8,3
Cumbres del Lago,103.2,4,3,2,4146000,18800,7,2.8,2
Mileno III,73.3,2,2,1,2189000,13100,4,6.8,3
Juriquilla,94.8,2,2,2,2994000,14800,4,4.0,2
Juriquilla,63.4,2,2,2,1696000,7700,7,3.3,2
Cumbres del Lago,139.2,4,3,2,6074000,32700,6,3.9,2
Juriquilla,71.0,3,2,2,2146000,10200,2,3.0,2
Cumbres del Lago,88.2,3,3,2,3669000,19900,7,3.2,2
Corregidora,121.7,2,2,1,3476000,17100,7,6.6,3
Cumbres del Lago,136.0,4,3,1,5394000,30200,2,3.0,2
Juriquilla,146.2,3,2,2,4010000,25000,8,2.8,2
Cumbres del Lago,73.8,4,3,2,2639000,13300,3,3.6,2
Mileno III,121.1,2,2,2,3290000,17500,9,7.1,3
Corregidora,103.7,2,2,2,2453000,15600,12,7.9,3
Mileno III,69.4,3,2,2,1503000,9100,9,4.3,3
Corregidora,92.6,2,2,1,2334000,14900,7,2.4,3
Zibatá,49.8,3,2,2,1412000,8100,3,2.1,1
Zibatá,130.1,3,2,2,5425000,32400,6,2.8,1
El Refugio,97.4,3,2,1,2361000,11100,9,5.9,3
Juriquilla,89.9,3,2,1,2980000,18100,4,2.7,2
Jurica,160.1,4,3,2,7283000,44500,18,5.6,2
Corregidora,127.8,2,2,2,2500000,11200,11,5.1,3
Juriquilla,89.6,2,2,1,3290000,18800,5,3.4,2
El Refugio,64.4,2,2,2,1523000,8800,8,3.0,3
Centro,81.9,1,1,1,1963000,12100,23,9.1,4
Zibatá,150.0,2,2,1,4885000,30500,1,3.6,1
Mileno III,144.2,2,2,2,3405000,16100,5,4.2,3
Corregidora,113.2,2,2,1,2369000,10900,7,4.3,3
El Refugio,96.1,2,2,2,2567000,13300,2,4.9,3
Corregidora,102.6,2,2,2,2090000,12600,7,3.4,3
Centro,153.4,1,1,2,2798000,16900,21,8.6,4
Cumbres del Lago,99.4,3,3,2,4263000,19500,4,4.1,2
Juriquilla,107.9,3,2,2,3841000,19200,8,3.2,2
Mileno III,125.3,3,2,2,4113000,22500,12,3.9,3
Centro,78.8,3,1,2,1982000,11500,24,6.2,4
Cumbres del Lago,60.6,3,3,2,1972000,10400,2,4.1,2
Cumbres del Lago,109.2,4,3,2,4777000,26500,2,4.1,2
Juriquilla,111.9,3,2,2,2771000,16200,3,2.1,2
Juriquilla,100.0,3,2,1,2585000,12500,2,4.9,2
Centro,90.3,1,1,1,2223000,12700,24,2.4,4
Cumbres del Lago,119.1,3,3,1,4355000,25800,4,3.0,2
Juriquilla,130.0,2,2,1,4710000,25800,5,3.8,2
Centro,180.8,1,1,2,3440000,21500,12,4.7,4
El Refugio,160.9,2,2,2,4316000,20900,4,4.5,3
Zibatá,106.5,2,2,1,4912000,25200,6,3.9,1
Jurica,116.8,3,3,1,5216000,30200,12,2.1,2
Corregidora,126.5,3,2,2,3515000,16600,9,7.4,3
Corregidora,75.6,2,2,1,1719000,10400,5,2.6,3
Corregidora,84.7,2,2,1,2604000,15400,11,4.3,3
Corregidora,136.2,2,2,2,3145000,17600,14,3.7,3
Centro,124.1,1,1,1,2967000,13500,18,5.3,4
Cumbres del Lago,155.6,3,3,1,5544000,26800,4,4.4,2
El Refugio,147.9,2,2,1,3266000,15600,4,6.9,3
Juriquilla,106.7,3,2,1,3900000,18800,4,2.2,2
Zibatá,141.0,2,2,1,4355000,21700,1,2.5,1
Jurica,93.7,4,3,1,5312000,30600,15,4.6,2
El Refugio,45.0,3,2,2,1475000,8400,9,5.7,3
Centro,66.4,2,1,2,1181000,7100,22,4.3,4
Corregidora,85.8,3,2,2,2518000,14100,10,4.7,3
Corregidora,121.4,3,2,1,2643000,16100,11,6.5,3
El Refugio,54.8,3,2,2,1416000,8000,5,3.5,3
Mileno III,85.8,2,2,2,2215000,11900,10,7.7,3
Centro,132.8,2,1,1,2452000,14600,22,4.3,4
Corregidora,81.2,3,2,1,1732000,10900,4,6.9,3
Corregidora,92.7,3,2,2,2116000,10700,7,4.0,3
Juriquilla,87.8,3,2,2,2448000,15000,8,3.1,2
Jurica,103.4,3,3,2,4374000,23200,14,4.6,2
El Refugio,87.9,2,2,2,2734000,13400,10,3.5,3
Corregidora,46.3,2,2,1,1316000,8200,12,5.0,3
Corregidora,87.6,3,2,1,2870000,15000,14,6.3,3
Jurica,94.0,3,3,1,5149000,26000,9,4.1,2
Corregidora,109.5,3,2,1,3311000,18600,5,4.9,3
Mileno III,77.7,3,2,2,2151000,10900,11,2.8,3
Corregidora,74.4,3,2,1,2052000,10400,7,7.2,3
El Refugio,138.6,3,2,1,2903000,16600,10,6.2,3
Zibatá,81.0,2,2,2,2558000,14800,6,2.6,1
Centro,130.0,3,1,1,4033000,24600,29,10.0,4
Cumbres del Lago,122.6,4,3,1,4469000,28300,4,3.8,2
Cumbres del Lago,92.9,4,3,2,4392000,22200,7,3.4,2
Jurica,114.3,4,3,2,7473000,46600,8,2.4,2
Zibatá,123.2,2,2,1,3354000,15100,4,3.1,1
Zibatá,87.2,2,2,2,2787000,16700,4,2.5,1
Mileno III,150.4,2,2,3,4372000,21300,8,2.1,3
Jurica,80.5,4,3,1,3286000,20100,5,3.3,2
Corregidora,125.6,2,2,2,3585000,22300,10,2.9,3
El Refugio,118.2,3,2,1,3173000,14900,4,2.9,3
El Refugio,136.6,2,2,1,3965000,20800,9,3.7,3
Centro,78.9,3,1,1,1540000,7000,29,9.1,4
Jurica,133.3,4,3,1,7553000,34200,13,4.3,2
Mileno III,100.2,2,2,1,3059000,18700,10,5.8,3
Zibatá,119.4,3,2,1,4866000,23900,5,2.5,1
Juriquilla,121.9,3,2,2,4161000,24500,2,3.9,2
Juriquilla,122.7,2,2,1,4116000,26300,6,3.0,2
Cumbres del Lago,107.1,4,3,1,5204000,26000,6,3.5,2
El Refugio,136.2,3,2,2,3374000,17100,7,3.9,3
Corregidora,89.2,2,2,2,2589000,15900,12,6.6,3
Jurica,106.1,4,3,2,5380000,32400,9,4.0,2
Centro,83.0,2,1,1,2206000,13000,20,6.7,4
Jurica,100.7,4,3,2,4347000,20900,14,5.6,2
Cumbres del Lago,74.1,4,3,2,2930000,14900,6,2.5,2
Centro,160.2,1,1,1,2472000,15500,15,9.8,4
Juriquilla,98.2,2,2,1,2801000,18100,3,2.4,2
Cumbres del Lago,146.1,3,3,1,5515000,33200,7,2.6,2
Cumbres del Lago,136.4,3,3,1,6513000,34300,7,5.0,2
Cumbres del Lago,119.8,3,3,1,4582000,25700,1,2.1,2
Cumbres del Lago,138.7,4,3,2,6019000,32300,3,3.7,2
El Refugio,119.3,2,2,1,3435000,19800,5,3.9,3
Corregidora,138.8,2,2,1,2718000,13500,13,3.5,3
El Refugio,79.5,2,2,2,1764000,11100,10,5.3,3
Corregidora,114.4,2,2,2,4013000,21700,14,2.4,3
Corregidora,128.7,2,2,1,2976000,18800,5,3.2,3
Zibatá,127.5,2,2,2,4409000,23500,1,3.3,1
El Refugio,152.8,2,2,2,3919000,21800,6,5.3,3
Cumbres del Lago,83.6,4,3,1,2875000,17500,7,2.0,2
Centro,130.9,2,1,2,2538000,15400,16,5.3,4
Zibatá,56.4,3,2,2,2388000,10800,2,2.4,1
Juriquilla,106.7,2,2,1,3059000,17500,6,4.1,2
Jurica,98.5,4,3,1,6242000,31400,17,3.6,2
Cumbres del Lago,97.3,3,3,1,3918000,21800,8,4.1,2
El Refugio,97.8,3,2,1,2698000,14600,6,2.7,3
El Refugio,66.5,2,2,2,2169000,10300,3,4.9,3
Centro,130.9,2,1,2,2718000,13000,11,7.6,4
Cumbres del Lago,105.8,4,3,1,3665000,20200,1,2.9,2
Zibatá,87.4,2,2,1,3293000,20500,2,3.1,1
Centro,137.1,3,1,1,2324000,14400,21,2.7,4
El Refugio,71.7,2,2,1,1539000,8100,2,5.6,3
Mileno III,106.0,3,2,2,2520000,12300,7,7.6,3
Mileno III,141.5,3,2,1,3530000,17000,12,6.1,3
Juriquilla,85.1,2,2,2,2196000,13700,2,2.8,2
El Refugio,129.0,2,2,2,3903000,17600,5,4.0,3
Cumbres del Lago,80.2,3,3,1,3482000,16900,2,4.8,2
El Refugio,100.0,2,2,1,2253000,11700,10,4.7,3
El Refugio,133.6,2,2,1,3016000,19100,7,6.9,3
El Refugio,112.3,2,2,2,3108000,15100,4,6.9,3
Mileno III,177.2,2,2,1,3788000,21500,8,5.9,3
Zibatá,134.8,2,2,2,5279000,33300,1,3.2,1
Juriquilla,90.7,3,2,2,2709000,13800,8,2.3,2
Zibatá,137.8,2,2,2,5065000,26000,5,3.5,1
Jurica,57.0,4,3,2,2086000,9800,12,5.0,2
Centro,116.4,3,1,2,3125000,18800,11,8.4,4
El Refugio,149.0,2,2,2,4169000,23600,10,6.8,3
Jurica,118.8,3,3,1,7291000,41900,19,2.1,2
Centro,166.7,2,1,1,3626000,18300,15,2.1,4
Cumbres del Lago,68.8,3,3,2,2924000,17100,7,3.0,2
Mileno III,114.4,2,2,2,2621000,15700,10,7.3,3
Jurica,90.5,4,3,1,4302000,19500,17,3.1,2
El Refugio,96.4,3,2,2,3141000,20400,8,3.6,3
El Refugio,74.0,2,2,1,2212000,14000,4,4.1,3
Mileno III,140.5,2,2,1,3954000,23700,11,5.9,3
Cumbres del Lago,142.1,3,3,1,4678000,23000,6,4.5,2
El Refugio,117.2,2,2,2,3492000,15800,6,6.8,3
El Refugio,117.4,3,2,2,3754000,21100,2,6.7,3
El Refugio,163.1,3,2,3,4329000,25800,6,6.5,3
Centro,86.5,3,1,2,2130000,10400,18,3.0,4
Juriquilla,152.7,2,2,3,5123000,25200,2,2.5,2
Juriquilla,142.6,3,2,2,3959000,24100,8,3.0,2
Mileno III,119.3,3,2,2,3342000,18300,10,2.4,3
Mileno III,91.0,3,2,1,2244000,11200,12,4.4,3
Cumbres del Lago,71.5,4,3,2,2572000,11900,5,3.1,2
Juriquilla,137.5,3,2,2,3500000,21600,1,4.6,2
El Refugio,147.9,3,2,2,3432000,22000,5,2.1,3
El Refugio,112.2,3,2,2,2816000,13100,9,3.4,3
Cumbres del Lago,109.4,3,3,1,4155000,24800,6,4.8,2
Jurica,136.6,3,3,1,8084000,40600,6,5.8,2
Mileno III,143.3,3,2,1,3189000,19600,8,7.4,3
Juriquilla,109.6,2,2,1,3553000,16400,4,4.1,2
El Refugio,79.7,2,2,1,2310000,10800,5,2.7,3
Cumbres del Lago,104.2,3,3,2,3833000,21900,4,3.6,2
El Refugio,105.5,2,2,2,2608000,14500,6,6.6,3
Cumbres del Lago,115.5,3,3,2,4826000,30500,2,3.5,2
Corregidora,111.0,2,2,1,3184000,16600,9,5.0,3
Jurica,62.2,3,3,2,3494000,20600,17,3.0,2
Juriquilla,123.6,3,2,2,3510000,17000,4,4.8,2
Juriquilla,70.6,2,2,1,2207000,11900,7,2.9,2
Juriquilla,124.8,2,2,1,4527000,27300,7,3.3,2
Jurica,115.6,3,3,2,6175000,30500,6,5.4,2
Cumbres del Lago,129.1,4,3,2,4946000,31100,4,4.4,2
El Refugio,132.5,3,2,2,4374000,27200,9,6.9,3
Cumbres del Lago,118.8,4,3,1,5326000,32600,5,2.1,2
Centro,119.1,1,1,1,3034000,15800,14,8.9,4
Cumbres del Lago,47.4,4,3,2,1518000,9400,6,3.4,2
Centro,90.0,1,1,1,2326000,13200,12,2.1,4
Corregidora,99.4,3,2,1,3094000,15000,11,5.7,3
El Refugio,100.3,3,2,2,2664000,16500,2,4.5,3
Zibatá,124.1,3,2,2,3459000,20000,4,3.4,1
Juriquilla,136.3,3,2,2,5401000,26000,8,2.0,2
El Refugio,101.4,3,2,1,2432000,15500,10,5.8,3
Centro,121.9,1,1,1,3356000,16800,27,3.7,4
Juriquilla,99.0,3,2,1,3319000,16700,5,2.8,2
Mileno III,94.6,2,2,1,2496000,16200,7,2.7,3
Centro,78.7,1,1,1,1949000,10100,16,9.8,4
Corregidora,99.5,3,2,1,3143000,19800,13,4.2,3
Jurica,81.8,4,3,1,4640000,28700,12,5.5,2
Corregidora,123.4,3,2,1,3248000,18100,6,5.0,3
Jurica,109.0,3,3,1,5280000,30500,12,5.1,2
Centro,99.0,2,1,2,2423000,13500,28,9.9,4
Centro,64.7,3,1,1,1148000,5200,16,7.3,4
Cumbres del Lago,137.0,3,3,2,5006000,23500,1,5.0,2
Centro,106.0,1,1,2,2581000,13500,18,6.5,4
Juriquilla,86.6,2,2,1,2632000,14900,3,3.2,2
Jurica,77.8,4,3,2,3767000,19600,5,5.1,2
Mileno III,69.7,3,2,1,1919000,10700,8,6.5,3
Jurica,124.3,3,3,2,6623000,41800,8,2.9,2
Mileno III,164.8,3,2,3,4145000,26100,4,2.7,3
Centro,120.3,1,1,2,2991000,17000,27,9.4,4
Cumbres del Lago,125.4,3,3,2,3956000,18900,1,2.3,2
Cumbres del Lago,129.5,4,3,2,4409000,25200,4,2.7,2
Zibatá,163.3,3,2,2,7052000,36100,0,3.3,1
Jurica,113.0,3,3,1,4979000,29100,19,6.0,2
Mileno III,79.7,2,2,2,1778000,9800,6,5.7,3
Zibatá,67.7,2,2,2,2809000,17000,5,2.4,1
Corregidora,102.6,2,2,2,1992000,11400,8,5.2,3
Jurica,143.1,4,3,1,6239000,34400,20,5.6,2
Corregidora,134.7,2,2,2,3347000,18200,11,7.9,3
Centro,116.4,3,1,2,3024000,18200,14,8.1,4
Corregidora,141.2,2,2,3,3845000,21100,7,6.4,3
Zibatá,129.6,2,2,1,5308000,25800,3,3.3,1
Zibatá,110.5,2,2,1,3320000,21200,3,3.5,1
Cumbres del Lago,94.2,3,3,1,3521000,18900,1,3.5,2
Zibatá,70.4,2,2,2,3026000,15000,2,3.1,1
Zibatá,143.6,2,2,3,6040000,36200,0,2.9,1
Corregidora,105.1,2,2,1,3324000,14900,10,3.7,3
Zibatá,113.4,2,2,1,3574000,21400,5,2.4,1
Centro,61.5,2,1,2,1392000,8800,26,4.8,4
